S.l. 1 37.3989094 -122.0711831
s.l. 71 37.3989094 -122.0711831
"s. l." 1 37.3989094 -122.0711831
"Kingston, Ont" 1 44.2311717 -76.4859544
"Longueuil, Qc" 17 45.5369442 -73.51071309999999
"Milan, Italie" 3 45.4654219 9.1859243
"Millerton, NY" 1 41.9537035 -73.51067909999999
"Montréal, QC" 26 45.5016889 -73.567256
"Montréal, Qc" 360 45.5016889 -73.567256
"Museum of Art" 1 32.7875598 -96.80089280000001
"Naples, Italy" 1 40.8517746 14.2681244
"New Haven, CT" 5 41.308274 -72.9278835
"Oss, Pays-Bas" 1 51.7835618 5.5786314
"Outremont, Qc" 2 45.5142856 -73.60901129999999
"Paris, France" 62 48.856614 2.3522219
"Princeton, NJ" 1 40.3572976 -74.6672226
"Regina, Sask." 11 50.4452112 -104.6188944
"Reims, France" 1 49.258329 4.031696
"Riverside, CA" 2 33.9533487 -117.3961564
"Rochester, NY" 1 43.16103 -77.6109219
"Sackville, NB" 4 45.897903 -64.3682803
"San Diego, CA" 1 32.715738 -117.1610838
"Sudbury, Ont." 5 46.522099 -80.9530353
"Toronto, Ont." 168 43.653226 -79.3831843
"Turin, Italie" 2 45.070312 7.686856499999999
"Vancouver, BC" 97 49.2827291 -123.1207375
"Venice, Italy" 1 45.4408474 12.3155151
"Windsor, Ont." 7 42.3149367 -83.03636329999999
"Winnipeg, Man" 2 49.895136 -97.13837439999999
"Wolfville, NS" 1 45.0917598 -64.3598354
"[Chelsea, VT]" 1 43.989788 -72.4475994
"[Halifax, NS]" 1 44.64876350000001 -63.5752387
"[Québec, Qc]" 1 46.8138783 -71.2079809
"Alexandria, VA" 1 38.8048355 -77.0469214
"Angers, France" 2 47.478419 -0.5631659999999999
"Annecy, France" 1 45.899247 6.129384
"Berlin Germany" 2 52.52000659999999 13.404954
"Brampton, Ont." 1 43.7315479 -79.7624177
"Brescia, Italy" 1 45.5415526 10.2118019
"Calgary, Alta." 1 51.0486151 -114.0708459
"Cambridge, MA " 1 42.3736158 -71.10973349999999
"Cambridge, Ont" 1 43.3616211 -80.3144276
"Cardiff, Wales" 1 51.48158100000001 -3.17909
"Chatou, France" 1 48.896391 2.160098
"Chicoutimi, Qc" 8 48.3516735 -71.1385136
"Dawson City YT" 1 64.06006959999999 -139.4320347
"Derry, Ireland" 1 54.9966124 -7.3085748
"Durham-Sud, QC" 1 45.6580798 -72.3431063
"Edmonton, Alta" 13 53.544389 -113.4909267
"Hamilton, Ont." 13 43.2557206 -79.8711024
"Jonquière, Qc" 1 48.423604 -71.2395463
"Kingston, Ont." 13 44.2311717 -76.4859544
"La Minerve, Qc" 1 46.18176889999999 -74.9848597
"London England" 2 51.5073509 -0.1277583
"Meymac, France" 1 45.5367 2.1465519
"Montréal, Qc." 1 45.5016889 -73.567256
"Nantes, France" 1 47.218371 -1.553621
"Nîmes, France" 1 43.836699 4.360054
"Oakville, Ont." 15 43.467517 -79.6876659
"Paris : France" 1 48.856614 2.3522219
"Pori, Finlande" 1 61.4851393 21.7974178
"Rennes, France" 4 48.117266 -1.6777926
"Sainte-Foy, Qc" 2 46.78299579999999 -71.28606959999999
"Sherbrooke, Qc" 4 45.4009928 -71.8824288
"Taipei, Taiwan" 1 25.0329694 121.5654177
"Toronto, Ont. " 1 43.653226 -79.3831843
"Toulon, France" 2 43.124228 5.928
"Troyes, France" 1 48.2973451 4.0744009
"Venise, Italie" 1 45.4408474 12.3155151
"Washington, DC" 2 38.9071923 -77.0368707
"Waterloo, Ont." 3 43.4642578 -80.5204096
"Whitehorse, YT" 3 60.7211871 -135.0568449
